iter	Passed	Remaining
399	34427	51640
400	34488	51517
401	34546	51390
402	34650	51330
403	34748	51262
404	34810	51141
405	34867	51013
406	34931	50895
407	34997	50780
408	35049	50645
409	35117	50534
410	35175	50410
411	35235	50287
412	35299	50171
413	35359	50050
414	35415	49922
415	35475	49802
416	35533	49679
417	35602	49570
418	35665	49454
419	35725	49334
420	35779	49207
421	35830	49076
422	35886	48951
423	35939	48823
424	36002	48709
425	36058	48585
426	36115	48463
427	36172	48343
428	36225	48216
429	36274	48084
430	36325	47956
431	36380	47833
432	36436	47712
433	36487	47585
434	36539	47459
435	36596	47340
436	36651	47219
437	36715	47109
438	36772	46991
439	36831	46876
440	36891	46763
441	36953	46651
442	37023	46551
443	37078	46431
444	37146	46328
445	37201	46209
446	37256	46091
447	37313	45975
448	37366	45855
449	37423	45740
450	37473	45616
451	37526	45496
452	37580	45378
453	37633	45259
454	37692	45148
455	37745	45030
456	37800	44914
457	37866	44811
458	37923	44698
459	37985	44592
460	38036	44472
461	38091	44358
462	38145	44241
463	38200	44128
464	38258	44018
465	38355	43952
466	38418	43847
467	38495	43759
468	38564	43662
469	38626	43557
470	38692	43457
471	38841	43449
472	39003	43456
473	39091	43380
474	39196	43322
475	39271	43232
476	39348	43143
477	39403	43030
478	39472	42933
479	39533	42827
480	39590	42718
481	39643	42604
482	39772	42572
483	39839	42473
484	39901	42369
485	39959	42262
486	40014	42151
487	40067	42037
488	40123	41928
489	40181	41821
490	40234	41709
491	40292	41602
492	40353	41499
493	40448	41431
494	40521	41340
495	40590	41244
496	40649	41139
497	40707	41034
498	40765	40928
499	40818	40818
500	40874	40710
501	40930	40604
502	40984	40496
503	41038	40386
504	41091	40278
505	41193	40216
506	41267	40128
507	41389	40086
508	41476	40009
509	41544	39914
510	41608	39816
511	41669	39716
512	41733	39617
513	41798	39521
514	41862	39424
515	41912	39313
516	41963	39204
517	42021	39101
518	42074	38993
519	42131	38890
520	42183	38782
521	42233	38673
522	42283	38564
523	42341	38463
524	42398	38360
525	42454	38257
526	42509	38153
527	42570	38055
528	42622	37949
529	42679	37848
530	42740	37750
531	42796	37648
532	42856	37549
533	42909	37445
534	42964	37342
535	43014	37236
536	43074	37138
537	43138	37044
538	43201	36949
539	43271	36861
540	43328	36761
541	43387	36662
542	43441	36561
543	43497	36460
544	43552	36360
545	43605	36258
546	43660	36157
547	43728	36067
548	43783	35967
549	43835	35865
550	43892	35767
551	43949	35669
552	44007	35572
553	44064	35474
554	44124	35379
555	44184	35284
556	44244	35189
557	44297	35088
558	44352	34989
559	44406	34890
560	44459	34791
561	44512	34691
562	44571	34596
563	44628	34500
564	44681	34400
565	44754	34317
566	44819	34226
567	44883	34136
568	44947	34046
569	45008	33954
570	45069	33861
571	45136	33773
572	45188	33674
573	45237	33573
574	45287	33473
575	45339	33374
576	45387	33273
577	45444	33178
578	45491	33077
579	45542	32979
580	45600	32885
581	45653	32789
582	45722	32703
583	45792	32619
584	45872	32542
585	45952	32464
586	46025	32382
587	46081	32288
588	46133	32191
589	46185	32094
590	46236	31997
591	46300	31909
592	46370	31826
593	46431	31735
594	46485	31641
595	46537	31545
596	46608	31462
597	46661	31367
598	46736	31287
599	46805	31203
600	46869	31116
601	46932	31028
602	47007	30948
603	47064	30856
604	47118	30763
605	47178	30673
606	47232	30580
607	47284	30486
608	47335	30391
609	47388	30297
610	47444	30205
611	47492	30109
612	47544	30016
613	47591	29918
614	47649	29829
615	47700	29735
616	47750	29640
617	47802	29547
618	47852	29453
619	47903	29360
620	47955	29267
621	48003	29172
622	48059	29082
623	48116	28993
624	48171	28903
625	48225	28812
626	48275	28718
627	48362	28647
628	48549	28636
629	48649	28571
630	48705	28482
631	48757	28390
632	48817	28303
633	48879	28217
634	48943	28132
635	49011	28050
636	49076	27966
637	49132	27877
638	49189	27789
639	49251	27703
640	49313	27618
641	49379	27535
642	49461	27461
643	49544	27387
644	49622	27311
645	49716	27244
646	49799	27170
647	49881	27096
648	49967	27023
649	50022	26935
650	50064	26839
651	50097	26739
652	50128	26637
653	50162	26538
654	50195	26439
655	50229	26339
656	50265	26242
657	50298	26143
658	50330	26043
659	50358	25942
660	50396	25846
661	50426	25746
662	50460	25648
663	50495	25551
664	50528	25454
665	50558	25355
666	50585	25254
667	50624	25160
668	50656	25063
669	50690	24966
670	50718	24868
671	50748	24769
